IGNORE FOR NOW Brand (from cigargeek_detail.csv),Brand,Brand,Brand cleaned,"some variations in name, 
denoted as same. 
add to transform rules?",Instructions,Title (Brand + Line) Best Cigar Prices,Title (Brand + Line) JR Cigars,Title (Brand + Line) Atlantic Cigar,Title (Brand + Line) Cigar International,Title (Brand + Line) Neptune,Title (Brand + Line) famous smoke
Ricardo,La Gianna,,,,,Rocky Patel Royale,Lars Tetens Cigars,J. Fuego Connoisseur,Gurkha Sherpa Orange,Foundry Chillin' Moose Too,Jaime Garcia Reserva Especial
Sweeteez,LA GLORIA CUBANA,,,,,Rocky Patel Sixty,Lars Tetens Phat,J. Fuego Gran Reserva Corojo #1,Gurkha Signature 1887,Fratello,Java
Panama Jack,La Gloria Cubana,,,,,Rocky Patel Sun Grown,Lars Tetens Serie D,J. Fuego Origen Maduro,Gurkha Special Ops,Fratello Arlequin,Java by Drew Estate
La Pefecta,La Gloria Cubana,,,,,Rocky Patel The Edge,Lars Tetens SS,J. Fuego Origen Natural,Gurkha Status,Fratello Bianco,Java Latte
Dimeola,La Gloria Cubana,,,,,Rocky Patel The Edge Lite,Lars Tetens Steam Punk,J. Fuego Pennsylvania Broadleaf,Gurkha Symphony,Fratello Blue,Java Mint
Coppo,La Gloria Cubana,,,,,Rocky Patel Twentieth Anniversary,Lars Tetens Sutton Place,J. Fuego Royal Nicaraguan,Gurkha The Royal Reserve,Fratello Camo Sweet,Java Red
Cabanas,La Gloria Cubana,,,,,Rocky Patel Vintage 1990,Larutan by Drew Estate,J. Fuego Sangre de Toro,Gurkha Titan,Fratello Classico,JD Howard Reserve By Crowned Heads
Montes de Oca,La Gran Llave,,,,,Rocky Patel Vintage 1992,linkbare,J. London Gold Series,Gurkha Warlord,Fratello Navetta,Jericho Hill By Crowned Heads
La Perla Habana,La Hoja Cigar Co. 1962,,,,,Rocky Patel Vintage 1999,M Bourbon by Macanudo,J.C. Newman,Gurkha Widow Maker,Fratello Navetta Inverso,JFR Connecticut
Olman Premium Cigars,La Palina,,,,,Rocky Patel Vintage 2003,M by Macanudo,Jaime Garcia Reserva Especial,Gurkha Xtreme,Fratello Oro,JFR Lunatic
Havache,La Palina,,,,,Rocky Patel Vintage 2006,M Espresso by Macanudo,Java Cigars by Drew Estate,Gurkha Yakuza,Fratello Rosso,JFR Lunatic Loco
Golden Harvest,La Palina,,,,,Rocky Patel White Label,Macanudo,Java Mint Cigars by Drew Estate,H Upmann 1844 Classic,Fratello The Texan,JFR Lunatic Torch
La Isla,La Perla Habana,,,,,Rocky Patel Winter Collection,Macanudo Certified Vintage,Java Red by Drew Estate,H. Upmann Cigars,Fratello Verde,JM's
A. T. Cofino,La Primadora,,,,,rollers choice ,Macanudo Cigars,JetLine Lighters,H. Upmann 175th Anniversary,Gispert,JM's Dominican
P.G.C. Hajenius,La Rosa De Sandiego,,,,,ROLY,Macanudo Cru Royale,JFR Connecticut,H. Upmann 1844 Anejo,Gispert,JM's Dominican Connecticut
T.L. Johnson,La Unica,,,,,ROMA CRAFT,Macanudo Gold Label,JFR Corojo,H. Upmann 1844 Reserve,Gran Habano,JM's Dominican Corojo
Arte Cubano,La Vieja Habana,,,,,Romeo 505 Nicaragua by Romeo y Julieta,Macanudo Heritage Reserve,JFR Lunatic,H. Upmann by AJ Fernandez,Gran Habano Corojo No. 5,JM's Nicaraguan
Hidalgo,La Vieja Habana,,,,,Romeo by Romeo y Julieta,Macanudo Inspirado Black,JFR Maduro,H. Upmann Connecticut,Gran Habano Persian King Maduro,Joya de Nicaragua
Flor de Copan,Lampert,,,,,Romeo San Andres by Romeo Y Julieta,Macanudo Inspirado Green,Joya De Nicaragua Antano 1970,H. Upmann Fumas,Gran Habano Persian King Natural,Joya de Nicaragua Antano 1970
Havana Humidor,Laranja,,,,,romeo y julieta ,Macanudo Inspirado Orange,Joya De Nicaragua Antano Connecticut,H. Upmann Herman's Batch,Guardian of the Farm,Joya de Nicaragua Antano 1970 Gran Reserva
Xikar,Lars Tetens,,,,,Romeo y Julieta 1875,Macanudo Inspirado Red,Joya De Nicaragua Antano Dark Corojo,H. Upmann Hispaniola by Jose Mendez,Aganorsa Guardian of the Farm,Joya De Nicaragua Antano Connecticut
La Escepcion,Lars Tetens,,,,,Romeo Y Julieta 1875 Connecticut Nicaragua,Macanudo Inspirado White,Joya De Nicaragua Antano Gran Reserva,H. Upmann Media Noche,Aganorsa Guardian of the Farm Cerberus,Joya de Nicaragua Antano Dark Corojo
Key West Cigars,Lars Tetens,,,,,romeo y julieta 1875 nicaragua ,Macanudo Maduro,Joya De Nicaragua Black,H. Upmann Perlado,Gurkha,Joya De Nicaragua Cinco Decadas
Dos Amates,Las Cabrillas,,,,,romeo y julieta 1875 robolo ,Macanudo Maduro Vintage 1997,Joya De Nicaragua Cabinetta Series,H. Upmann The Banker,Gurkha Black Dragon Special Edition Tubo,Joya de Nicaragua Joya Black
Romanticos,Las Cabrillas,,,,,romeo y julieta grand exhibition ,Macorix Sumatra,Joya de Nicaragua Cinco Decadas,Half Pipe Cigars,Gurkha Cellar Reserve 15 Years,Joya de Nicaragua Joya Cabinetta
Epoca (Nat Sherman),Las Calaveras,,,,,romeo y julieta habana reserve ,Mayorga,Joya De Nicaragua Cuatro Cinco,Hammer and Sickle Tradicion,Gurkha Cellar Reserve 18 Years,Joya de Nicaragua Joya Red
Gate City Cigars,Las Calaveras,,,,,s.t. dupont ,MBombay Cigars,Joya de Nicaragua Dos Cientos,Havana Classico,Gurkha Cellar Reserve Limitada,Joya De Nicaragua Joya Silver
De Nobili,Leaf by Oscar,,,,,SAINT LUIS REY,Mi Querida,Joya De Nicaragua Numero Uno,Havana Honeys,Gurkha Cellar Reserve Platinum 12 Year,Juan Lopez
Asylum,Leaf By Oscar,,,,,Saint Luis Rey Carenas,Mi Querida Triqui Traca,Joya De Nicaragua Red,Havana Q by Quorum,Gurkha Classic Havana Blend,Juarez By Crowned Heads
Cumbres de Puriscal,Leaf By Oscar,,,,,Salvation,MJ Frias Cigars,Joya De Nicaragua Silver,Hav-A-Tampa Jewels,Gurkha Coleccion Especial New,Kentucky Fire Cured
Casa Blanca,Leon Jimenes,,,,,SAMPLERS,Mocambo,Juan Lopez,HC Series Cigars,Gurkha Ghost,Kentucky Fired Cured Sweets
Valle Dorado,Lew's Handmade Smokers,,,,,SAN CRISTOBAL,Mombacho,K by Karen Berger Connecticut,HC Series Black Maduro,Gurkha Ghost Gold,King Edward
Signature Collection,Liga Privada,,,,,San Cristobal Elegencia,Monte by Montecristo,K by Karen Berger Habano,HC Series Connecticut,Gurkha Grand Reserve,King Is Dead
Don Pedro,Liga Privada,,,,,San Cristobal Quintessence,Monte by Montecristo AJ Fernandez,K by Karen Berger Maduro,HC Series Criollo,Gurkha Heritage,Kristoff
MiCubano,Liga Privada,,,,,San Cristobal Quintessence,Montecristo,Koks & Rojas,HC Series Habano Colorado,Gurkha Heritage Maduro,Kristoff Accessories And Samplers
Caribbean Rounds,Liga Undercrown,,,,,San Cristobal Revelation,Montecristo 1935 Anniversary Nicaragua,Kristoff 685 Woodlawn,HC Series Red Corojo,Gurkha Heritage Rosado TAA,Kristoff Cameroon
Paso D'LeÃ³n,Litto Gomez,,,,,San Lotano,Montecristo 2000,Kristoff Connecticut,HC Series White Shade Grown,Gurkha Marquesa,Kristoff Connecticut
Aruhiba,Los Caidos,,,,,San Lotano Dominicano,Montecristo Anejados,Kristoff Corojo Limitada,Helix,Gurkha Nicaragua Series,Kristoff Corojo Limitada
La Hoja (by El Credito),Los Caidos,,,,,San Lotano Requiem,Montecristo Artisan Series,Kristoff Criollo,Henry Clay,Gurkha Nicaragua Series,Kristoff Criollo
Troya,Los Statos Deluxe,,,,,San Lotano The Bull,Montecristo Cigars,Kristoff GC Signature Series,Henry Clay Rustic Cheroot,Gurkha Private Select Ron Abuelo,Kristoff GC Signature Series
Marcus Daniel,Lost & Found,,,,,SANCHO PANZA,Montecristo Classic,Kristoff Kristania,Henry Clay War Hawk,Gurkha Rogue,Kristoff Habano
Game Day,Lost and Found La Whatever,,,,,Sancho Panza Double Maduro,Montecristo Crafted by AJ Fernandez,Kristoff Kristania Maduro,Henry Clay War Hawk Rebellious,Gurkha Royal Challenge,Kristoff Ligero Criollo
Old Port,Lost&Found,,,,,Sancho Panza Extra Fuerte,Montecristo Epic,Kristoff Ligero Criollo,Herrera Esteli Connecticut Broadleaf Lancero Tienda Exclusiva,Gurkha Royal Challenge Maduro,Kristoff Ligero Maduro
Honduran Estates,Luciano,,,,,SAVOY,Montecristo Epic Craft Cured,Kristoff Ligero Maduro,Herrera Esteli Special Edition Lancero,Gurkha San Miguel,Kristoff Maduro
Domaine de Lavalette,M1,,,,,SCENT BOMB AIR FRESHENERS,Montecristo Epic Vintage 12,Kristoff Maduro,Hesitant Pirate,Gurkha Treinta,Kristoff Pistoff Kristoff
Galactico,MACANUDO,,,,,Scooby Snax,Montecristo Espada,Kristoff Pistoff,Highclere Castle,Gurkha Warlord,Kristoff San Andres
Roller's Choice,Macanudo,,,,,SEGUNDO,Montecristo Espada Oscuro,Kristoff San Andres,Highclere Castle Victorian,Gurkha Wicked Indie,Kristoff Sumatra
Toros,Macanudo,,,,,Sin Compromiso,Montecristo Habana 2000,Kristoff Sumatra,Hoyo de Monterrey,H. Upmann,L'Atelier
Cabaiguan,Macanudo,,,,,SLAUGHTERHOUSE,Montecristo Vintage '93 Club Cabinet,Kristoff Vengeance,Hoyo de Monterrey Cigars,H. Upmann 175th Anniversary Limited Edition,L'Atelier
Flor de Ybor City,Macanudo,,,,,Sobremesa,Montecristo Volume 1: 100 Days,Kung Pow by Casa Fernandez,Hoyo de Monterrey Epicure Seleccion,H. Upmann 1844 Anejo,L'Atelier La Mission
Costa Dorada,Macanudo,,,,,Sobremesa,Montecristo Volume II: The Rendezvous,La Aroma De Cuba,Hoyo de Monterrey Excalibur Cigarillos,H. Upmann 1844 Reserve,La Antiguedad
Brittania,Macorix Sumatra,,,,,Sobremesa Brulee,Montecristo White Series,La Aroma De Cuba Edicion Especial,Hoyo de Tradicion,H. Upmann by AJ Fernandez,La Aroma de Cuba
Sun Ripened Oscuros,MAN GEAR,,,,,Solera by Aging Room,Montecristo White Series Vintage Connecticut,La Aroma De Cuba Mi Amor,Hoyo ICON,H. Upmann Grupo de Maestros Connecticut,La Aroma de Cuba
Pura Soul,MAN O WAR,,,,,SOSA,Montesino,La Aroma de Cuba Mi Amor Reserva,Hoyo La Amistad Black,H. Upmann Herman's Batch,La Aroma de Cuba Edicion Especial
Fernandez,Man O' War,,,,,SOUTH BEACH FLAVORS BY NINO VASQUEZ,Moroceli,La Aroma De Cuba Noblesse,Hoyo La Amistad Dark Sumatra,H. Upmann Hispaniola by Jose Mendez,La Aroma de Cuba Mi Amor
Rojas Cigars,Man O' War,,,,,SOUTHERN DRAW,Moya Cigars,La Aroma de Cuba Pasion,Hoyo La Amistad Gold,H. Upmann The Banker,La Aroma de Cuba Mi Amor Reserva
Havana Dreams,Maria Mancini,,,,,Southern Draw Firethorn,MoyaRuiz Cigars,La Aurora 115th Anniversary,HVC Cerro Natural,H. Upmann The Banker Ingot,La Aroma De Cuba Pasion
Gil Gonzales Davila,Maroma,,,,,Southern Draw Jacobs Ladder,Mr. B,La Aurora Preferidos,HVC Edicion Especial 2015,H. Upmann Vintage Cameroon,La Aurora
La Rica,Marsh Wheeling,,,,,Southern Draw Kudzu,Muestra de Saka,La Aurora Preferidos Hors D’Age LE,HVC Hot Cakes,Harvester,La Aurora
All In!,Marsh Wheeling Rough Cut,,,,,Southern Draw Manzanita,Murcielago,La Aurora Preferidos Packs,HVC Pan Caliente,Harvester Connecticut,La Aurora 107
Knockando,Matilde,,,,,Southern Draw Quickdraw,MUWAT by Drew Estate,La Barba One & Only,Illusione Cigars,Havana Q,La Aurora 107 Nicaragua
Old Fashioned,MAXIMILIAN,,,,,Southern Draw Rose of Sharon,My Father,La Barba Purple,Illusione Candela,Havana Q,La Aurora 115th Anniversary
K. A. Kendall,Mayorga,,,,,Spirit of Cuba,My Father Cigars,La Barba Red Cigars,Illusione Cigares Prive Corojo,Hav-A-Tampa Jewels,La Aurora 1495
Bolivar (Cuban),MBombay,,,,,St. Luis Rey Serie G,National Brand Honduran,La Barba Siempre,Illusione Cigars Prive SA Maduro,Hav-A-Tampa Jewels Regular,La Aurora 1495 Brazil
CLE,MBombay,,,,,StillWell Star,Nestor Miranda Special Selection,La Flor Dominicana 1994,Illusione Cruzado,Hav-A-Tampa Jewels Sweet,La Aurora 1495 Connecticut
Doublegun,MEHARIS,,,,,STINKY CIGAR ASHTRAYS,New Wave Connecticut by E.P. Carrillo,La Flor Dominicana Air Bender,Illusione ECCJ,Helix,La Aurora 1495 Nicaragua
LegendArio (by Camacho),Miami Cigar & Company,,,,,Swedish Delight,New World by AJ Fernandez,La Flor Dominicana Air Bender Maduro,Illusione Epernay Serie 2009,Helix,La Aurora 1903 Cameroon
Nostrano del Brenta,Micallef,,,,,SWISHER SWEETS,New World Cameroon by AJ Fernandez,La Flor Dominicana Cabinet Maduro,Illusione Epernay Serie 2009 10th Anniversary,Helix Maduro,La Aurora 1962 Corojo
Cuesta Rey,MISTER B.,,,,,TABAK ESPECIAL,New World Connecticut by AJ Fernandez,La Flor Dominicana Cameroon Cabinet,Illusione Fume D'Amour,Henry Clay,La Aurora 1985 Maduro
Puros del Ibera,MJ Frias,,,,,Tabaquero Hamlet Paredes by Rocky Patel,New World Oscuro by AJ Fernandez,La Flor Dominicana Colorado Oscuro,Illusione Garagiste,Henry Clay,La Aurora 1987 Connecticut
Horsepower (by Indian Tabac),MLB Cigar Ventures,,,,,TABERNACLE,New World Puro Especial by AJ Fernandez,La Flor Dominicana Coronado,Illusione Gigantes,Henry Clay Rustic Cheroot,La Aurora ADN Dominicano
Quesada,Mocambo,,,,,TAINO,New York,La Flor Dominicana Double Claro,Illusione Haut 10,Henry Clay Stalk Cut,La Aurora Barrel Aged
Los Nicas,Mombacho,,,,,TAMBOR DOMINICANO,Nica Rustica,La Flor Dominicana Double Ligero,Illusione Maduro,Henry Clay War Hawk,La Aurora Especiales
Magna Carta,Mombacho,,,,,TAMPA TROLLEYS,Nica Rustica Broadleaf,La Flor Dominicana LG Diez,Illusione OneOff,Henry Clay War Hawk Rebellious,La Aurora Preferido
Aldo,MONTECRISTO,,,,,TATIANA FLAVORED,Nicaraguan Factory Overruns,La Flor Dominicana LG Small Batch,Illusione Original Documents,Herrera Esteli,La Aurora Preferidos Diamond Connecticut Broadleaf
John Hay,Montecristo,,,,,TATUAJE,Nicaraguan Nude Bundles,La Flor Dominicana Ligero,Illusione Rothchildes,Herrera Esteli Brazilian Maduro,La Aurora Preferidos Emerald Ecuadorian Sungrown
Blessed Leaf,Montecristo,,,,,Tatuaje Black,Nicaraguan Nude Connecticut,La Flor Dominicana Ligero Cabinet Oscuro,Illusione Singulare,Herrera Esteli Broadleaf,La Aurora Preferidos Gold Dominican Corojo
King Richard,Montecristo,,,,,Tatuaje Cojonu,Nicaraguan Nude Habano,La Flor Dominicana Limited Edition,Illusione Slam Bench Pressed,Herrera Esteli Habano,La Aurora Preferidos Hors D'Age
Cedar Room,Montecristo,,,,,Tatuaje Cojonu,Nicaraguan Overruns,La Flor Dominicana Little Cigars,Illusione Ultra,Herrera Esteli Miami,La Aurora Preferidos Platinum Cameroon
Adante,Montecristo,,,,,Tatuaje Havana VI,Nicaraguan Series by AJ Fernandez,La Flor Dominicana N.A.S.,INCH RingMaster by E.P. Carrillo,Herrera Esteli Norteno,La Aurora Preferidos Ruby Brazilian Maduro
Don Vicente,Montecristo New York,,,,,Tatuaje Havana VI Verocu,Nicaraguan Series by Oliva,La Flor Dominicana Oro,Irish Charms,Herrera Esteli TAA,La Aurora Preferidos Sapphire Connecticut Shade
Rushmore,Montesino,,,,,Tatuaje La Verite,Nicaroma,La Flor Dominicana Reserva Especial,Isla del Sol Maduro by Drew Estate,Highclere Castle,La Capitana
Ricos Dominicanos,Moroceli,,,,,Tatuaje Mexican Experiment ME I,NightShade by Drew Estate,La Flor Dominicana Samplers,Island Jim by Oscar #2,Highclere Castle Victorian,La Coalicion By Crowned Heads & Drew Estate
Black Cat,Moya,,,,,Tatuaje Mexican Experiment ME II,Nub,La Flor Dominicana Suave,It's a Boy! /It's a Girl!,Hiram & Solomon,La Estrella Cubana Connecticut
Quadrado,MoyaRuiz,,,,,Tatuaje Reserva,Nub Nuance Double Roast,La Galera,Jaime Garcia Reserva Especial,Hiram & Solomon Entered Apprentice,La Estrella Cubana Habano
Vato,Mr. B,,,,,Tatuaje Series P,Nub Nuance Single Roast,La Galera 1936 Box Pressed,Java by Drew Estate,Hiram & Solomon Fellow Craft,La Flor de Ynclan
Antelo,Muestra de Saka,,,,,Tatuaje Tattoo,Nub Nuance Triple Roast,La Galera Anemoi,Java by Drew Estate Cigars,Hiram & Solomon Grand Architect,La Flor Dominicana
Nice Guys,Murcielago,,,,,TE AMO,Nude Dominican Bundles,La Galera Connecticut,Java Mint by Drew Estate,Hiram & Solomon Master Mason,La Flor Dominicana Accessories and Samplers
Emanuel Cigars,Murcielago,,,,,TEDS MADE BY HAND,Odyssey,La Galera Habano,Java Red by Drew Estate,Hiram & Solomon Shriner,La Flor Dominicana Air Bender
Tesa Cigar Co.,MUWAT,,,,,THE HIVE,Odyssey Coffee,La Galera Limited Edition 80th,JFR Lunatic Corojo Torch,Hiram & Solomon Traveling Man,La Flor Dominicana Cameroon Cabinet
A. Flores (by Pinar del Rio),My Father,,,,,The Ogre by Asylum,Odyssey Connecticut,La Galera Maduro,JFR Lunatic Habano,Hiram & Solomon Veiled Prophet,La Flor Dominicana Coronado
Tarazona,My Father,,,,,The Ogre by Asylum,Odyssey Full,La Genovese,JFR Lunatic Loco,Honduran Nude,La Flor Dominicana Double Claro
Bona Vita,My Father,,,,,THE UPSETTERS,Odyssey Habano,La Gloria Cubana,JFR Lunatic Maduro,OHN Nude Bundles,La Flor Dominicana Double Ligero
Flor de Besana,My Father,,,,,The Wise Man,Odyssey Sweet Tip,La Gloria Cubana Artesansos de Obelisco,JFR XT Corojo,Hoyo de Monterrey,La Flor Dominicana La Nox
Castillo Del Morro,My Father,,,,,Thunder by Nimish,Oliva Cain,La Gloria Cubana Coleccion Reserva,JFR XT Maduro,Hoyo de Monterrey Epicure Seleccion,La Flor Dominicana Ligero
Moscato Cigars,Nat Cicco,,,,,Timeless Panamericana,Oliva Cain Daytona,La Gloria Cubana Criollo De Oro,JM Tobacco Cigars,Hoyo La Amistad,La Flor Dominicana Ligero Cabinet Oscuro
International Cigar Factory Outlet,Nat Cicco,,,,,Timeless Prestige,Oliva Cain F,La Gloria Cubana Esteli,JM's Dominican,Hoyo La Amistad Black,La Flor Dominicana Limited Production
Pyro,Nat Sherman,,,,,Timeless Sterling,Oliva Cigars,La Gloria Cubana Medio Tiempo,JM's Dominican Honey,Hoyo La Amistad Dark Sumatra,La Flor Dominicana Little Cigars
Spanish Galleon,Nat Sherman,,,,,Timeless Supreme,Oliva Connecticut Reserve,La Gloria Cubana Serie R,JM's Nicaraguan,Hoyo La Amistad Silver,La Flor Dominicana Oro Tubo
San Cristobal,Nat Sherman,,,,,TOP SHELF SECONDS,Oliva Master Blends 3,La Gloria Cubana Serie R Black,John Bull,HR,La Flor Dominicana Reserva Especial
Colita,NATIONAL,,,,,TOPPER,Oliva Melanio JR 50th Anniversary,La Gloria Cubana Serie R Black Maduro,Jose Rey,HR Signature,La Flor Dominicana Suave
Flor de Consuegra,National Brand,,,,,TORO DE ORO,Oliva Seconds,La Gloria Cubana Serie R Esteli,Joya de Nicaragua Cigars,HVC,La Floridita
Don Diego,National Brand Honduran,,,,,Toscanello,Oliva Serie G,La Gloria Cubana Serie R Esteli Maduro,Joya de Nicaragua Antano 1970,HVC 10th Anniversary,La Floridita
Conquistador (Mexico),NEOS,,,,,TOSCANO,Oliva Serie O,La Gloria Cubana Serie S,Joya de Nicaragua Antano 1970 with Shut the Box Game,HVC 500 Years Anniversary Limited Edition,La Floridita Fuerte
Josefina,NESTOR MIRANDA,,,,,trader jacks ,Oliva Serie V,La Gloria Cubana Society Cigar,Joya de Nicaragua Antano Connecticut,HVC Black Friday,La Floridita Gold
Lou Rodriguez,Nestor Miranda,,,,,TRAVEL,Oliva Serie V Maduro Especial,La Gloria Cubana Spanish Press,Joya de Nicaragua Antano Dark Corojo,HVC Cerro Maduro,La Floridita Limited Edition
Lusitania,Nestor Miranda,,,,,Trinidad Espiritu,Oliva Serie V Melanio,La Gloria Cubana Spirit of the Lady,Joya de Nicaragua Antano Gran Reserva,HVC Edicion Especial 2018,La Fontana Vintage
Diplomaticos,Nestor Miranda Special Selection,,,,,Trinidad Espiritu No. 2,Oliva Serie V Melanio Maduro,La Hoja Edicion Clasica 1962,Joya de Nicaragua Black,HVC First Selection Broadleaf 2018,La Galera 1936 Box Pressed
Black Label Trading Company,NEW CUBA,,,,,Umbagog,Oliveros All Stars No. 5,La Hoja Edicion Crema 1962,Joya de Nicaragua Cabinetta,HVC Hot Cake,La Galera Connecticut
Bull City Cigars,New York,,,,,Undercrown,Oliveros Cigars,La Hoja Edicion Maduro 1962,Joya de Nicaragua Cinco Decadas,HVC La Rosa Maduro,La Galera Habano
Rex Britannia,NICA LIBRE,,,,,Undercrown 10,Oliveros Gran Retorno Connecticut,La Hoja Reserva Limitada 1962,Joya de Nicaragua Cuatro Cinco,HVC Pan Caliente,La Galera Maduro
Exquisito (Cuban Stock/ Crown David),Nica Libre,,,,,VALLEJUELO,Oliveros Gran Retorno Habano,La Jugada Claro Connecticut,Joya de Nicaragua JOYA Copper,HVC San Isidro,La Gloria Cubana
Kensington,Nica Libre,,,,,VARIETY PACKS,Oliveros Gran Retorno Maduro,La Jugada Habano,Joya de Nicaragua JOYA Red,HVC Serie A,La Gloria Cubana
QQ,Nica Rustica,,,,,VEGA FINA,Olvidados,La Jugada Prieto,Joya de Nicaragua Silver,HVC Vieja Cosecha No. 2,La Gloria Cubana Criollo De Oro
Mustique,Nicaraguan Factory Overruns,,,,,VEGA FINA ROBOLO,Omar Ortez Cigars,La Mia,Joya del Jefe 2-Fer,Ilegal,La Gloria Cubana Esteli
Gilbert de Montsalvat,Nicaraguan Nude Bundles,,,,,VERTIGO,Omar Ortez Maduro,La Mission du L'Atelier,Judge Wright by JC Newman,Ilegal Connecticut,La Gloria Cubana Gilded Age
Mercedes,Nicaraguan Overruns,,,,,VILLIGER,Omar Ortez Originals,La Palina Black Label,Kentucky Cheroots,Ilegal San Andres,La Gloria Cubana Medio Tiempo
A Traditional Cigar,NINO VASQUEZ,,,,,Villiger 1888,Onyx Bold Nicaragua,La Palina Bronze Label,Kentucky Fire Cured Swamp Rat & Swamp Thang,Illusione,La Gloria Cubana Serie R
Marco V,NORDING,,,,,Villiger Braniff,Onyx Cigars,La Palina Classic Connecticut,Key West Extra,"Illusione ""G"" Gigantes",La Gloria Cubana Serie R Black
Partagas (Cuban),NUB,,,,,Villiger Color Line,Onyx Reserve,La Palina Classic Maduro,King Edward Cigars,"Illusione ""Original Documents""",La Gloria Cubana Serie R Black Maduro
Don Rigo,Nub,,,,,Villiger Corrida Brazil,Optimo Cigars,La Palina Classic Natural,Kristoff Cigars,"Illusione ""R"" Rothchildes",La Gloria Cubana Serie R Esteli Maduro
Costa,Nub,,,,,Villiger Corrida Brazil,Oracle,La Palina Classic Rosado,Kristoff Connecticut,Illusione Cruzado,La Gloria Cubana Serie RF
Santiago (by La Aurora),Nub,,,,,Villiger Corrida Dominican Republic,Oscar Valladares Cigars,La Palina El Ano 1896 Oscuro,Kristoff Criollo,Illusione CT,La Gloria Cubana Spanish Press
Flatbed Cigar Co.,Nub,,,,,Villiger Corrida Honduras,Oscar Valladares Ciseron Edition,La Palina El Diario,Kristoff GC Signature Series,Illusione Epernay 10th Anniversary,La Hacienda by Warped Cigars
Monte Pascoal,Nude Dominican Bundles,,,,,Villiger Corrida Nicaragua,Oscar Valladares Heaven and Hell,La Palina Family Series,Kristoff Kristania,Illusione Epernay Serie 2009,La Historia By EPC
Little Havana,ODYSSEY,,,,,Villiger Cuellar Black Forest,Oscar Valladares Limited Edition,La Palina Fuego Verde,Kristoff Kristania Maduro,Illusione Fume D'Amour,La Imperiosa By Crowned Heads
Hoja Real,Odyssey,,,,,Villiger Cuellar Connecticut Kreme,Oscar Valladares McFly,La Palina Goldie,Kristoff Ligero Maduro,Illusione Haut 10,La Libertad
Leonel,Odyssey,,,,,Villiger Do Brasil,Oscar Valladares Super Fly,La Palina Illumination,Kristoff Maduro,Illusione Maduro,La Unica Cabinet
La Casa Grande,Odyssey,,,,,Villiger Exports,Oscar Valladares Wild Hunter,La Palina Kill Bill Series,Kristoff San Andres,Illusione OneOff,La Vencedora
ACE Prime Cigar,OLIVA,,,,,Villiger Kiel,Padilla 1932,La Palina LP Number 1,Kristoff Sumatra,Illusione PCA 2020 Exclusive,La Vieja Habana
